"Name","Release","Developer","Publisher","Rating","Genre","Critics_Score","Number_Critics","Number_Critics_Pos","Number_Critics_Mixed","Number_Critics_Negative","User_score","Number_User","Number_User_Pos","Number_User_Mixed","Number_User_Negative","url","image","Mean_score","colour"
"Tom Clancy's Rainbow Six: Rogue Spear (2002)","2002-03-18","Ubisoft Milan","Ubisoft","Rated T","Action/Adventure",76,7,4,3,0,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/tom-clancys-rainbow-six-rogue-spear-2002/","https://www.metacritic.com/a/img/resize/4ddd0e1b953189c8d77a1f5e8ab5d5a4388b8788/catalog/provider/6/3/6-1-1154-13.jpg?auto=webp&fit=cover&height=132&width=88",7.6,"Good"
"CT Special Forces 2: Back in the Trenches","2004-06-29","LSP","Hip Games","Rated T","Platformer",76,11,8,3,0,8.3,12,12,0,0,"https://www.metacritic.com/game/ct-special-forces-2-back-in-the-trenches/","https://www.metacritic.com/a/img/resize/1f1bc368676361b83a0ffadfe122fe569eebc982/catalog/provider/6/3/6-1-55327-13.jpg?auto=webp&fit=cover&height=132&width=88",7.95,"Good"
"Tales of Phantasia","2006-03-06","Namco","Nintendo","Rated E +10","RPG",76,29,20,9,0,7.8,30,23,4,3,"https://www.metacritic.com/game/tales-of-phantasia/","https://www.metacritic.com/a/img/resize/5eb869846facc25e48078aeaac24458742582069/catalog/provider/6/3/6-1-43647-13.jpg?auto=webp&fit=cover&height=132&width=88",7.7,"Good"
"Monster Rancher Advance","2001-11-28","Tecmo","Tecmo","Rated E","Strategy",76,11,5,5,1,7.3,4,3,0,1,"https://www.metacritic.com/game/monster-rancher-advance/","https://www.metacritic.com/a/img/resize/c8ac29d822b27161dbc58d3e6849af34e5ae1135/catalog/provider/6/3/6-1-14301-13.jpg?auto=webp&fit=cover&height=132&width=88",7.45,"Mixed"
"Riviera: The Promised Land","2005-06-28","Sting","Atlus","Rated T","RPG",76,26,17,9,0,7.4,16,11,3,2,"https://www.metacritic.com/game/riviera-the-promised-land/","https://www.metacritic.com/a/img/resize/78134b6ce3878a28177083ddcb5c6a2497352777/catalog/provider/6/3/6-1-61249-13.jpg?auto=webp&fit=cover&height=132&width=88",7.5,"Good"
"Boxing Fever","2001-10-11","Digital Fiction","Majesco","Rated E","Fighting",76,10,6,4,0,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/boxing-fever/","https://www.metacritic.com/a/img/resize/0e792d0397af0b7cbaf947e0319268734e3a5129/catalog/provider/6/3/6-1-15185-13.jpg?auto=webp&fit=cover&height=132&width=88",7.6,"Good"
"Spyro 2: Season of Flame","2002-09-24","Digital Eclipse","Universal Interactive","Rated E","Platformer",76,18,11,7,0,6.5,22,13,3,6,"https://www.metacritic.com/game/spyro-2-season-of-flame/","https://www.metacritic.com/a/img/resize/7a1ac931b0e85a1570d0168108c5cb26c65cba19/catalog/provider/6/3/6-1-19294-13.jpg?auto=webp&fit=cover&height=132&width=88",7.05,"Mixed"
"Phantasy Star Collection","2002-11-24","Digital Eclipse","THQ","Rated E","Board and arcade",76,20,13,7,0,8.5,4,2,2,0,"https://www.metacritic.com/game/phantasy-star-collection/","https://www.metacritic.com/a/img/resize/4df33f0d4240266309b3731965e6e2d6662edd55/catalog/provider/6/3/6-1-17127-13.jpg?auto=webp&fit=cover&height=132&width=88",8.05,"Good"
"Kingdom Hearts: Chain of Memories","2004-12-07","Jupiter Corporation","Square Enix","Rated E","RPG",76,37,26,10,1,8.5,268,207,43,18,"https://www.metacritic.com/game/kingdom-hearts-chain-of-memories/","https://www.metacritic.com/a/img/resize/330a8a528ca35942eed8ee3076c68c3546c1d279/catalog/provider/6/3/6-1-57494-13.jpg?auto=webp&fit=cover&height=132&width=88",8.05,"Good"
"Baldur's Gate: Dark Alliance","2001-12-02","Snowblind Studios","Interplay","Rated T","RPG",87,29,27,2,0,8.5,127,106,16,5,"https://www.metacritic.com/game/baldurs-gate-dark-alliance/","https://www.metacritic.com/a/img/resize/126462e97d4d31f0578afc85fad2efb51848c639/catalog/provider/6/3/6-1-12776-13.jpg?auto=webp&fit=cover&height=132&width=88",8.6,"Good"
"Harry Potter and the Chamber of Secrets","2002-11-15","Electronic Arts","Electronic Arts","Rated E","Action/Adventure",71,16,6,10,0,7.8,80,53,23,4,"https://www.metacritic.com/game/harry-potter-and-the-chamber-of-secrets/","https://www.metacritic.com/a/img/resize/36f1334734310833e5cd00c942b1dc8675ea8211/catalog/provider/6/3/6-1-17828-13.jpg?auto=webp&fit=cover&height=132&width=88",7.45,"Mixed"
"Pokemon Emerald Version","2005-04-30","Game Freak","Nintendo","Rated E","RPG",76,28,19,9,0,8.8,916,790,84,42,"https://www.metacritic.com/game/pokemon-emerald-version/","https://www.metacritic.com/a/img/resize/19a05c72e38512a847c0b40dad85421ee18d3740/catalog/provider/6/3/6-1-61602-13.jpg?auto=webp&fit=cover&height=132&width=88",8.2,"Good"
"Lufia: The Ruins of Lore","2003-05-06","Taito Corporation","Atlus","Rated E","RPG",76,12,8,4,0,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/lufia-the-ruins-of-lore/","https://www.metacritic.com/a/img/resize/0cac917e1f4d9b18223b398862b76a33d8c2886e/catalog/provider/6/3/6-1-52353-13.jpg?auto=webp&fit=cover&height=132&width=88",7.6,"Good"
"Atari Anniversary Advance","2002-03-25","Digital Eclipse","Infogrames","Rated E","Board and arcade",75,7,4,3,0,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/atari-anniversary-advance/","https://www.metacritic.com/a/img/resize/ec27c03831096be8d372fbc24d209009cc4314f2/catalog/provider/6/3/6-1-17318-13.jpg?auto=webp&fit=cover&height=132&width=88",7.5,"Good"
"Dragon Ball Z: The Legacy of Goku II","2003-06-17","Webfoot Technologies","Atari SA","Rated E","RPG",75,21,17,4,0,8.5,48,40,6,2,"https://www.metacritic.com/game/dragon-ball-z-the-legacy-of-goku-ii/","https://www.metacritic.com/a/img/resize/2a0c6114e52bcd33ce8d11a97b3b7ecfff6bbe7d/catalog/provider/6/3/6-1-52844-13.jpg?auto=webp&fit=cover&height=132&width=88",8,"Good"
"Sabre Wulf","2004-06-09","Rare Ltd.","THQ","Rated E","Platformer",75,27,18,8,1,7.5,6,4,1,1,"https://www.metacritic.com/game/sabre-wulf/","https://www.metacritic.com/a/img/resize/8e3242b3f1dd119d6fef45b6a0d2ce69c897c399/catalog/provider/6/3/6-1-14396-13.jpg?auto=webp&fit=cover&height=132&width=88",7.5,"Good"
"LEGO Star Wars","2005-04-02","Traveller's Tales","Eidos Interactive","Rated E","Action/Adventure",78,46,37,8,1,8.2,73,52,20,1,"https://www.metacritic.com/game/lego-star-wars/","https://www.metacritic.com/a/img/resize/380e743a2fe4de0d1e9c7410d9b9f1d8937434ba/catalog/provider/6/3/6-1-62787-13.jpg?auto=webp&fit=cover&height=132&width=88",8,"Good"
"Jackie Chan Adventures","2001-11-06","Torus Games","Activision","Rated E","Fighting",75,11,6,5,0,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/jackie-chan-adventures/","https://www.metacritic.com/a/img/resize/e2b939c0629fb63bd03aca32238b3c52d6211e51/catalog/provider/6/3/6-1-13987-13.jpg?auto=webp&fit=cover&height=132&width=88",7.5,"Good"
"Bomberman Max 2: Red Advance","2002-05-30","Hudson","Majesco","Rated E","Puzzle",75,9,5,4,0,7.5,4,3,0,1,"https://www.metacritic.com/game/bomberman-max-2-red-advance/","https://www.metacritic.com/a/img/resize/34855cbc754a03cd038dd448b58cff37f30286ce/catalog/provider/6/3/6-1-18507-13.jpg?auto=webp&fit=cover&height=132&width=88",7.5,"Good"
"River City Ransom","2004-05-25","Million","Atlus","Rated T","Fighting",75,21,12,9,0,7.5,6,4,1,1,"https://www.metacritic.com/game/river-city-ransom/","https://www.metacritic.com/a/img/resize/10d898c1499c7512c0fc2eda7b9f52f312b802a1/catalog/provider/6/3/6-1-54018-13.jpg?auto=webp&fit=cover&height=132&width=88",7.5,"Good"
"Bomberman Max 2: Blue Advance","2002-05-30","Hudson","Majesco","Rated E","Puzzle",75,10,5,5,0,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/bomberman-max-2-blue-advance/","https://www.metacritic.com/a/img/resize/025c7e03e083fea9d636588c657f3f2a260dc240/catalog/provider/6/3/6-1-58015-13.jpg?auto=webp&fit=cover&height=132&width=88",7.5,"Good"
"Aggressive Inline","2002-05-28","Z-Axis, Ltd.","Acclaim","Rated T","Sports",85,31,29,2,0,6.6,12,7,2,3,"https://www.metacritic.com/game/aggressive-inline/","https://www.metacritic.com/a/img/resize/0de7e631f6f712b7f4838b484c8777226982b56a/catalog/provider/6/3/6-1-15943-13.jpg?auto=webp&fit=cover&height=132&width=88",7.55,"Good"
"Monster Truck Madness","2003-08-11","Tantalus","THQ","Rated E","Racing",75,10,7,2,1,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/monster-truck-madness/","https://www.metacritic.com/a/img/resize/589a4fd711b49346f26eccb2e22a9cb8a4aabf3e/catalog/provider/6/3/6-1-18674-13.jpg?auto=webp&fit=cover&height=132&width=88",7.5,"Good"
"The Lost Vikings","2003-03-30","Mass Media","Blizzard Classic Arcade","Rated E","Puzzle",75,16,9,7,0,8.2,19,16,1,2,"https://www.metacritic.com/game/the-lost-vikings/","https://www.metacritic.com/a/img/resize/b8999b539b60ac3dc17f296b4f3fb881813c2d71/catalog/provider/6/3/6-1-10960-13.jpg?auto=webp&fit=cover&height=132&width=88",7.85,"Good"
"Crash Bandicoot 2: N-Tranced","2003-01-07","Vicarious Visions","Universal Interactive","Rated E","Platformer",75,21,12,8,1,7.8,94,65,22,7,"https://www.metacritic.com/game/crash-bandicoot-2-n-tranced/","https://www.metacritic.com/a/img/resize/5a4c252a1a5d64b5fbad24e8ec0b5fc859005ed2/catalog/provider/6/3/6-1-19493-13.jpg?auto=webp&fit=cover&height=132&width=88",7.65,"Good"
"Mortal Kombat: Tournament Edition","2003-08-27","Criterion Games","Midway","Rated M","Fighting",75,14,9,3,2,9,5,4,1,0,"https://www.metacritic.com/game/mortal-kombat-tournament-edition/","https://www.metacritic.com/a/img/resize/d6f74133e056dc2474d6dc7c24c856548b4e13f0/catalog/provider/6/3/6-1-53686-13.jpg?auto=webp&fit=cover&height=132&width=88",8.25,"Good"
"Dragon Ball: Advanced Adventure","2006-06-06","Dimps Corporation","Atari SA","Rated E +10","Fighting",75,7,5,2,0,8.5,34,26,8,0,"https://www.metacritic.com/game/dragon-ball-advanced-adventure/","https://www.metacritic.com/a/img/resize/72217b8c83697ab4de80572b3269c3b96e2d462f/catalog/provider/6/3/6-1-62773-13.jpg?auto=webp&fit=cover&height=132&width=88",8,"Good"
"Double Dragon Advance","2003-11-12","Million","Atlus","Rated T","Fighting",75,21,10,11,0,7.6,8,5,2,1,"https://www.metacritic.com/game/double-dragon-advance/","https://www.metacritic.com/a/img/resize/a0286e4be43bae066b1921494e7958395bd601d3/catalog/provider/6/3/6-1-55625-13.jpg?auto=webp&fit=cover&height=132&width=88",7.55,"Good"
"Prince of Persia: The Sands of Time","2003-11-10","Ubisoft","Ubisoft","Rated T","Action/Adventure",92,44,44,0,0,8.7,398,342,49,7,"https://www.metacritic.com/game/prince-of-persia-the-sands-of-time/","https://www.metacritic.com/a/img/resize/398f885dd0cc2535a55b77b9d09173797ce9bf00/catalog/provider/6/3/6-1-52555-13.jpg?auto=webp&fit=cover&height=132&width=88",8.95,"Good"
"Dr. Mario / Puzzle League","2005-11-28","TOSE","Nintendo","Rated E","Puzzle",74,14,8,6,0,7,4,2,1,1,"https://www.metacritic.com/game/dr-mario-puzzle-league/","https://www.metacritic.com/a/img/resize/8d9893a61f4d221a46521fccaf6bcdfe1358a854/catalog/provider/6/3/6-1-70515-13.jpg?auto=webp&fit=cover&height=132&width=88",7.2,"Mixed"
"Castlevania","2004-10-25","Konami","Nintendo","Rated E","Platformer",74,10,5,5,0,8.4,30,23,6,1,"https://www.metacritic.com/game/castlevania/","https://www.metacritic.com/a/img/resize/1f880fce6ae649f4336d133c9b9a03ec31f5dc1e/catalog/provider/6/3/6-1-61636-13.jpg?auto=webp&fit=cover&height=132&width=88",7.9,"Good"
"Jet Grind Radio","2003-06-26","Vicarious Visions","THQ","Rated E","Platformer",74,22,14,7,1,7.2,6,4,1,1,"https://www.metacritic.com/game/jet-grind-radio/","https://www.metacritic.com/a/img/resize/94999ce6a5a7a221c631ab22da34403f62086025/catalog/provider/6/3/6-1-4505-13.jpg?auto=webp&fit=cover&height=132&width=88",7.3,"Mixed"
"Shining Soul II","2004-04-20","Nex Entertainment","Atlus","Rated E","RPG",74,18,11,7,0,7.5,8,5,2,1,"https://www.metacritic.com/game/shining-soul-ii/","https://www.metacritic.com/a/img/resize/c8e135cfd1f15307b9447a53f0071e432a9a11e0/catalog/provider/6/3/6-1-52234-13.jpg?auto=webp&fit=cover&height=132&width=88",7.45,"Mixed"
"GT Advance 3: Pro Concept Racing","2003-02-06","MTO","THQ","Rated E","Racing",74,14,7,6,1,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/gt-advance-3-pro-concept-racing/","https://www.metacritic.com/a/img/resize/60e693f27a0364b33924d83337e142deafa56b42/catalog/provider/6/3/6-1-22629-13.jpg?auto=webp&fit=cover&height=132&width=88",7.4,"Mixed"
"Spyro: Season of Ice","2001-11-07","Digital Eclipse","Universal Interactive","Rated E","Platformer",74,16,11,3,2,6.7,24,14,4,6,"https://www.metacritic.com/game/spyro-season-of-ice/","https://www.metacritic.com/a/img/resize/5fc34125a14be713e8840b07393eca485e330cca/catalog/provider/6/3/6-1-14339-13.jpg?auto=webp&fit=cover&height=132&width=88",7.05,"Mixed"
"Hot Potato! (2001)","2001-07-01","Pukka Games","Bam Entertainment","Rated E","Puzzle",74,7,4,3,0,7.8,4,3,0,1,"https://www.metacritic.com/game/hot-potato-2001/","https://www.metacritic.com/a/img/resize/a80b9c1d9efe362c53104c8354b71943273701db/catalog/provider/6/3/6-1-14868-13.jpg?auto=webp&fit=cover&height=132&width=88",7.6,"Good"
"James Bond 007: Everything or Nothing","2004-02-17","EA Redwood Shores","Electronic Arts","Rated T","Action/Adventure",83,51,45,6,0,8.3,14,8,6,0,"https://www.metacritic.com/game/james-bond-007-everything-or-nothing/","https://www.metacritic.com/a/img/resize/79726e40c745c3ba5cafb39c4cd16b7e3307c227/catalog/provider/6/3/6-1-53508-13.jpg?auto=webp&fit=cover&height=132&width=88",8.3,"Good"
"Lady Sia","2001-10-15","RFX Interactive","TDK Mediactive","Rated E","Platformer",73,8,4,3,1,7.8,12,9,1,2,"https://www.metacritic.com/game/lady-sia/","https://www.metacritic.com/a/img/resize/16d340993716c356a802e983f201cbf44c28d92a/catalog/provider/6/3/6-1-13383-13.jpg?auto=webp&fit=cover&height=132&width=88",7.55,"Good"
"Driver 2 Advance","2002-10-22","Sennari Interactive","Infogrames","Rated T","Racing",73,9,5,4,0,4,6,2,1,3,"https://www.metacritic.com/game/driver-2-advance/","https://www.metacritic.com/a/img/resize/6725041248975e4f966bb1a0a66dc1f97981554a/catalog/provider/6/3/6-1-16648-13.jpg?auto=webp&fit=cover&height=132&width=88",5.65,"Mixed"
"Blender Bros.","2002-04-15","AI","Infogrames","Rated E","Platformer",73,10,6,4,0,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/blender-bros/","https://www.metacritic.com/a/img/resize/70bccade1bd4d2cd0138aadca90cf70e73b42c2e/catalog/provider/6/3/6-1-16408-13.jpg?auto=webp&fit=cover&height=132&width=88",7.3,"Mixed"
"It's Mr Pants","2004-11-15","Rare Ltd.","THQ","Rated E","Puzzle",73,17,8,9,0,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/its-mr-pants/","https://www.metacritic.com/a/img/resize/98403835dc365c38ad16ef518909f3217eb4fe95/catalog/provider/6/3/6-1-57133-13.jpg?auto=webp&fit=cover&height=132&width=88",7.3,"Mixed"
"Star Wars Episode III: Revenge of the Sith","2005-05-04","Double Helix Games","LucasArts","Rated T","Action/Adventure",61,44,13,23,8,7.8,26,15,11,0,"https://www.metacritic.com/game/star-wars-episode-iii-revenge-of-the-sith/","https://www.metacritic.com/a/img/resize/334ab8de2e524f6e9832b6a924d4b3e120a327aa/catalog/provider/6/3/6-1-59688-13.jpg?auto=webp&fit=cover&height=132&width=88",6.95,"Mixed"
"Dragon Ball Z: Supersonic Warriors","2004-06-22","Cavia Inc.","Atari SA","Rated T","Fighting",73,26,18,7,1,7.2,29,14,12,3,"https://www.metacritic.com/game/dragon-ball-z-supersonic-warriors/","https://www.metacritic.com/a/img/resize/7be2f0b3f4976b57ac4d908e508e9a343e7b3822/catalog/provider/6/3/6-1-58201-13.jpg?auto=webp&fit=cover&height=132&width=88",7.25,"Mixed"
"Drome Racers","2002-11-20","Attention To Detail","Lego Media","Rated E","Racing",57,10,0,9,1,3,4,1,0,3,"https://www.metacritic.com/game/drome-racers/","https://www.metacritic.com/a/img/resize/2d161762df2303abac3dd80766828ec1167d31e1/catalog/provider/6/3/6-1-18454-13.jpg?auto=webp&fit=cover&height=132&width=88",4.35,"Bad"
"WWE Road to WrestleMania X8","2002-10-23","Natsume","THQ","Rated E","Fighting",73,10,4,6,0,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/wwe-road-to-wrestlemania-x8/","https://www.metacritic.com/a/img/resize/128c1cef52765f137017f1a512ec87544d7fe01a/catalog/provider/6/3/6-1-18151-13.jpg?auto=webp&fit=cover&height=132&width=88",7.3,"Mixed"
"Zelda II: The Adventure of Link","2004-10-25","Nintendo","Nintendo","Rated E","RPG",73,8,2,6,0,6.7,83,41,23,19,"https://www.metacritic.com/game/zelda-ii-the-adventure-of-link/","https://www.metacritic.com/a/img/resize/8bc94882cbbfedd4f5504051d7b4e4abcf77ea90/catalog/provider/6/3/6-1-22327-13.jpg?auto=webp&fit=cover&height=132&width=88",7,"Mixed"
"All-Star Baseball 2004","2003-02-23","Acclaim Studios Austin","Acclaim","Rated E","Sports",74,20,12,7,1,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/all-star-baseball-2004/","https://www.metacritic.com/a/img/resize/31d0ceb3e0cfa79a3e7f463e3656bb5060dc5714/catalog/provider/6/3/6-1-19292-13.jpg?auto=webp&fit=cover&height=132&width=88",7.4,"Mixed"
"Fire Pro Wrestling 2","2002-09-23","Spike","Bam Entertainment","Rated T","Fighting",72,7,3,4,0,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/fire-pro-wrestling-2/","https://www.metacritic.com/a/img/resize/a9ca2d828adbd478fa5fdee77e40863e558f68b8/catalog/provider/6/3/6-1-16814-13.jpg?auto=webp&fit=cover&height=132&width=88",7.2,"Mixed"
"Need for Speed: Underground 2","2004-11-15","EA Canada","Electronic Arts","Rated E","Racing",82,39,29,10,0,8.7,233,197,29,7,"https://www.metacritic.com/game/need-for-speed-underground-2/","https://www.metacritic.com/a/img/resize/10a72369888982fc559506d0cebb880327fefd69/catalog/provider/6/3/6-1-59814-13.jpg?auto=webp&fit=cover&height=132&width=88",8.45,"Good"
"X2: Wolverine's Revenge","2003-04-15","GenePool","Activision","Rated T","Action/Adventure",58,27,4,19,4,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/x2-wolverines-revenge/","https://www.metacritic.com/a/img/resize/e37f48232e0a5f771bf3cef89341d64dc4c56edc/catalog/provider/6/3/6-1-17502-13.jpg?auto=webp&fit=cover&height=132&width=88",5.8,"Mixed"
"Lemony Snicket's A Series of Unfortunate Events (2004)","2004-11-10","Griptonite Games","Activision","Rated E","Platformer",72,8,5,2,1,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/lemony-snickets-a-series-of-unfortunate-events-2004/","https://www.metacritic.com/a/img/resize/37f768047853d2dc797761324178b195ff2bfc7f/catalog/provider/6/3/6-1-59940-13.jpg?auto=webp&fit=cover&height=132&width=88",7.2,"Mixed"
"Sword of Mana","2003-12-01","Brownie Brown","Nintendo","Rated E","RPG",72,31,16,15,0,8.7,20,13,7,0,"https://www.metacritic.com/game/sword-of-mana/","https://www.metacritic.com/a/img/resize/b7f5359dcec36cedef69d80334e3cd9209981e42/catalog/provider/6/3/6-1-52872-13.jpg?auto=webp&fit=cover&height=132&width=88",7.95,"Good"
"Shrek 2 (2004)","2004-04-28","Vicarious Visions","Activision","Rated E","Platformer",72,10,5,5,0,5.2,15,6,4,5,"https://www.metacritic.com/game/shrek-2-2004/","https://www.metacritic.com/a/img/resize/b3fb7a3e32cc62485e797385b773d2221027ebd6/catalog/provider/6/3/6-1-53739-13.jpg?auto=webp&fit=cover&height=132&width=88",6.2,"Mixed"
"Shaman King: Master of Spirits 2","2005-08-02","KCEJ","Konami","Rated E +10","RPG",72,9,5,4,0,8,10,9,0,1,"https://www.metacritic.com/game/shaman-king-master-of-spirits-2/","https://www.metacritic.com/a/img/resize/f534a8fd33e6db331239b1797a980b29f98a1635/catalog/provider/6/3/6-1-68458-13.jpg?auto=webp&fit=cover&height=132&width=88",7.6,"Good"
"Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel","2003-04-08","KCEJ","Konami","Rated E","Board and arcade",72,16,8,8,0,6.9,17,9,5,3,"https://www.metacritic.com/game/yu-gi-oh-worldwide-edition-stairway-to-the-desti/","https://www.metacritic.com/a/img/resize/5ddfac7e6dc0725ce3e3e1e3ffab4996d3523714/catalog/provider/6/3/6-1-52399-13.jpg?auto=webp&fit=cover&height=132&width=88",7.05,"Mixed"
"Justice League Heroes: The Flash","2006-10-17","WayForward","Warner Bros. Interactive Entertainment","Rated E +10","Fighting",72,8,5,2,1,8.3,6,4,2,0,"https://www.metacritic.com/game/justice-league-heroes-the-flash/","https://www.metacritic.com/a/img/resize/2f6dcb9ed21410621b24f2c2911202cd215d60be/catalog/provider/6/3/6-1-69790-13.jpg?auto=webp&fit=cover&height=132&width=88",7.75,"Good"
"Hamtaro: Ham-Ham Heartbreak","2003-04-08","Pax Softonica","Nintendo","Rated E","Action/Adventure",72,7,5,1,1,7.4,14,6,7,1,"https://www.metacritic.com/game/hamtaro-ham-ham-heartbreak/","https://www.metacritic.com/a/img/resize/410d08f053321d6097561eef2062cbee26b189d7/catalog/provider/6/3/6-1-57043-13.jpg?auto=webp&fit=cover&height=132&width=88",7.3,"Mixed"
"Ballistic: Ecks vs. Sever II","2002-09-14","Crawfish Interactive","Bam Entertainment","Rated T","Shooter",72,7,4,3,0,5.6,5,2,1,2,"https://www.metacritic.com/game/ballistic-ecks-vs-sever-ii/","https://www.metacritic.com/a/img/resize/be04762ebd21229b07c53b574cc1601ba98ab772/catalog/provider/6/3/6-1-18160-13.jpg?auto=webp&fit=cover&height=132&width=88",6.4,"Mixed"
"Banjo-Kazooie: Grunty's Revenge","2003-09-10","Rare Ltd.","THQ","Rated E","Platformer",72,21,7,13,1,7.5,28,20,5,3,"https://www.metacritic.com/game/banjo-kazooie-gruntys-revenge/","https://www.metacritic.com/a/img/resize/15da22c90590a79dbc7d73ddac7fac6a5afb3bb6/catalog/provider/6/3/6-1-14379-13.jpg?auto=webp&fit=cover&height=132&width=88",7.35,"Mixed"
"Super Robot Taisen: Original Generation","2006-08-08","Banpresto","Atlus","Rated T","Strategy",72,13,5,8,0,6.4,10,6,1,3,"https://www.metacritic.com/game/super-robot-taisen-original-generation/","https://www.metacritic.com/a/img/resize/c1e168953602bdf8f57a83a6998cd96a5433c5b8/catalog/provider/6/3/6-1-44022-13.jpg?auto=webp&fit=cover&height=132&width=88",6.8,"Mixed"
"Earthworm Jim","2001-06-10","Game Titan","Majesco","Rated E","Platformer",72,10,2,7,1,6.1,14,6,4,4,"https://www.metacritic.com/game/earthworm-jim/","https://www.metacritic.com/a/img/resize/562b42287c6249b9a60edc7500db28de09d90c4d/catalog/provider/6/3/6-1-74-13.jpg?auto=webp&fit=cover&height=132&width=88",6.65,"Mixed"
"Defender of the Crown","2002-10-07","Crawfish Interactive","Metro3D","Rated E","Strategy",72,8,5,3,0,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/defender-of-the-crown/","https://www.metacritic.com/a/img/resize/cba85de375b4431a4f7fe5340848bb7cd8770ba5/catalog/provider/6/3/6-1-17541-13.jpg?auto=webp&fit=cover&height=132&width=88",7.2,"Mixed"
"Wings (1990)","2003-02-13","Crawfish Interactive","Metro3D","Rated E","Shooter",72,9,5,3,1,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/wings-1990/","https://www.metacritic.com/a/img/resize/bcd2f151ed2d3cd4d9ad02f8447baeb3d84472cd/catalog/provider/6/3/6-1-15429-13.jpg?auto=webp&fit=cover&height=132&width=88",7.2,"Mixed"
"Spyro: Attack of the Rhynocs","2003-10-27","Digital Eclipse","Universal Interactive","Rated E","Platformer",72,13,6,6,1,6.3,18,9,5,4,"https://www.metacritic.com/game/spyro-attack-of-the-rhynocs/","https://www.metacritic.com/a/img/resize/45f4e6ee046592a4f684069042ab4b16ba01954c/catalog/provider/6/3/6-1-53096-13.jpg?auto=webp&fit=cover&height=132&width=88",6.75,"Mixed"
"The Scorpion King: Sword of Osiris","2002-03-31","WayForward","Universal Interactive","Rated E","Platformer",72,14,8,6,0,8.2,12,9,3,0,"https://www.metacritic.com/game/the-scorpion-king-sword-of-osiris/","https://www.metacritic.com/a/img/resize/27d95b0037de0a9ba2cfd2a2776f48feae97c57f/catalog/provider/6/3/6-1-15834-13.jpg?auto=webp&fit=cover&height=132&width=88",7.7,"Good"
"Turok: Evolution (2002)","2002-09-01","RFX Interactive","Acclaim","Rated T","Platformer",72,8,3,4,1,8.9,7,6,1,0,"https://www.metacritic.com/game/turok-evolution-2002/","https://www.metacritic.com/a/img/resize/8f7f0efb165dff138afc7e3172e0e5bd0db4919d/catalog/provider/6/3/6-1-16336-13.jpg?auto=webp&fit=cover&height=132&width=88",8.05,"Good"
"Aero The Acro-Bat","2002-05-14","Atomic Planet Entertainment","Metro3D","Rated E","Platformer",71,12,6,5,1,7.5,4,2,2,0,"https://www.metacritic.com/game/aero-the-acro-bat/","https://www.metacritic.com/a/img/resize/c24f8e84ec43451827402c915808347abfe8e2d3/catalog/provider/6/3/6-1-17551-13.jpg?auto=webp&fit=cover&height=132&width=88",7.3,"Mixed"
"CT Special Forces","2004-01-04","LSP","Hip Games","Rated T","Platformer",71,14,7,7,0,7.9,13,12,1,0,"https://www.metacritic.com/game/ct-special-forces/","https://www.metacritic.com/a/img/resize/9fd8fed67a1c64f1af82c43c849c8e2ad1489906/catalog/provider/6/3/6-1-17193-13.jpg?auto=webp&fit=cover&height=132&width=88",7.5,"Good"
"Harry Potter and the Goblet of Fire","2005-11-08","Electronic Arts","Electronic Arts","Rated E +10","Action/Adventure",68,29,4,25,0,5.5,51,9,29,13,"https://www.metacritic.com/game/harry-potter-and-the-goblet-of-fire/","https://www.metacritic.com/a/img/resize/5fee3fe4f3717b0ec4ec629e0749b383b12cf787/catalog/provider/6/3/6-1-67101-13.jpg?auto=webp&fit=cover&height=132&width=88",6.15,"Mixed"
"ZooCube","2002-05-05","PuzzleKings","Acclaim","Rated E","Puzzle",67,15,3,11,1,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/zoocube/","https://www.metacritic.com/a/img/resize/856cd8f5beb4d36dbf0577145ada188c9d1da5a8/catalog/provider/6/3/6-1-17058-13.jpg?auto=webp&fit=cover&height=132&width=88",6.7,"Mixed"
"Shrek: Hassle at the Castle","2002-10-10","TOSE","TDK Mediactive","Rated E","Fighting",71,7,3,4,0,7.4,8,5,2,1,"https://www.metacritic.com/game/shrek-hassle-at-the-castle/","https://www.metacritic.com/a/img/resize/190433a065e8aa144ce2c53069d45300d266d5b6/catalog/provider/6/3/6-1-20609-13.jpg?auto=webp&fit=cover&height=132&width=88",7.25,"Mixed"
